h_fraction,sin_theta_now,b_norm_now,dh_last_window,sin_theta_next,b_norm_next,best_merit_next_3,merit_now,windows_since_dump,coast_h_fraction_3,coast_h_fraction_6,label
0.1479463064,0.8432864588,1.385240242,0.1107304598,0.8947571536,1.384554209,1.238839783,1.168154338,0.15,0.09594377875,0.9443430865,0
0.07232749185,0.2224900042,1.384554209,0.1240278205,0.6114998509,1.041717675,0.8897551926,0.3080494718,0.2,0.3022191804,1.162561328,1
0.07573459993,0.484893895,1.041717675,0.01890113279,0.9911017504,0.8224729815,0.9050686211,0.5051225408,0,0.6520465839,1.265808162,0
0.1072989586,0.9984229351,0.8224729815,0.08424587256,0.9647781399,1.134634156,1.356497093,0.8211758882,0.05,0.9564344428,1.215252201,1
0.05219689978,0.8535886245,1.134634156,0.08553615883,0.9411610554,1.404156758,1.321537657,0.9685108083,0,0.905958343,0.9132582862,0
0.3470187334,0.9371061942,1.404156758,0.3093436978,0.8674947823,1.29960813,1.127403271,1.315843996,0.05,0.953422378,0.8852312927,1
0.1752650295,0.3500936944,1.29960813,0.2707345803,0.6333724883,0.9342749337,1.10931073,0.4549846113,0,0.3130944036,0.1029236405,1
0.1900722251,0.4677907691,0.9342749337,0.05031444345,0.9901633385,0.8673977051,1.110423895,0.4370451898,0,0.1385649077,0.3353372209,0
0.1758209235,0.868768724,0.8673977051,0.09744248851,0.9989857081,1.218712143,1.383031846,0.7535679974,0.05,0.2062801362,0.5303426311,0
0.09340375009,0.8743554266,1.218712143,0.1049655541,0.9238553795,1.392429431,1.286403421,1.065587575,0.1,0.1940455342,0.8294576228,0
0.0809347432,0.623269439,1.392429431,0.1392029226,0.6646279235,1.193178602,0.8126292975,0.8678587104,0.15,0.2055226071,1.089981886,1
0.06642243592,0.4066961163,1.193178602,0.03456408234,0.8862928269,0.8528850455,0.8419603185,0.4852611033,0,0.4791378263,1.225157946,1
0.07118761222,0.6705677509,0.8528850455,0.02567410663,0.9939779829,0.9467944506,1.074452204,0.5719172067,0,0.813687507,1.251507405,1
0.08817856568,0.8491190735,0.9467944506,0.05505800026,0.9957410384,1.283270832,1.340537543,0.8039412267,0,0.9605983837,1.103090957,0
0.3231726067,0.9636244893,1.283270832,0.2848117163,0.9379407303,1.348822999,1.265116029,1.2365912,0.05,1.083374643,1.041548948,1
0.1591957131,0.4170346507,1.348822999,0.2599790976,0.5590424467,1.074313136,1.022800285,0.5625059282,0,0.4931539272,0.2534060825,1
0.1863800128,0.3360595075,1.074313136,0.05748280386,0.8791448634,0.8175834847,1.129166127,0.3610331434,0,0.1402258206,0.2161924622,0
